,symbol,name,exchange,status
0,ACR-C,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stoc,NYSE,active
1,ACTV,LeaderShares Activist Leaders ETF,ARCA,active
2,ADAP,Adaptimmune Therapeutics plc American Depositary Shares,NASDAQ,active
3,ADN,"Advent Technologies Holdings, Inc. Class A Common Stock",NASDAQ,active
4,ADRA.U,"Adara Acquisition Corp. Units, each consisting of one share of Class A common stock, and one-half of",AMEX,active
5,ADRE,Invesco BLDRS Emerging Markets 50 ADR Index Fund,NASDAQ,active
6,ADV,Advantage Solutions Inc. Class A Common Stock,NASDAQ,active
7,ADVM,"Adverum Biotechnologies, Inc. Common Stock",NASDAQ,active
8,AEAC,Authentic Equity Acquisition Corp. Class A ordinary share,NASDAQ,active
9,SPA,,NYSE,inactive
10,AEG,AEGON N.V.,NYSE,active
11,AEGN,Aegion Corp Common Stock,NASDAQ,active
12,AEHL,Antelope Enterprise Holdings Limited Common Stock (0.024 par),NASDAQ,active
13,AEIS,"Advanced Energy Industries, Inc. Common Stock",NASDAQ,active
14,AEO,American Eagle Outfitters,NYSE,active
15,AEPPL,"American Electric Power Company, Inc. Corporate Unit",NASDAQ,active
16,AESR,Anfield U.S. Equity Sector Rotation ETF,BATS,active
17,AFBI,"Affinity Bancshares, Inc. Common Stock (MD)",NASDAQ,active
18,AFGD,"American Financial Group, Inc. 5.625% Subordinated Debentures due 2060",NYSE,active
19,AFIF,Anfield Universal Fixed Income ETF,BATS,active
20,AFMC,First Trust Active Factor Mid Cap ETF,ARCA,active
21,AFSM,First Trust Active Factor Small Cap ETF,ARCA,active
22,AGBAU,AGBA Acquisition Limited Unit,NASDAQ,active
23,AGCO,AGCO Corporation,NYSE,active
24,AGFXF,"DB Agriculture Long ETN due April 1, 2038 (Germany)",OTC,inactive
25,AGG,iShares Core U.S. Aggregate Bond ETF,ARCA,active
26,AGM,Federal Agricultural Mortgage Corporation,NYSE,active
27,AGM-D,"Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock, Series D",NYSE,active
28,AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,NASDAQ,active
29,AGNCO,"AGNC Investment Corp. Depositary Shares, each representing a 1/1,000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock",NASDAQ,active
30,AGO-B,Assured Guaranty Municipal Holdings Inc. 6-7/8% Quarterly Interest Bonds due 2101,NYSE,active
31,AGO-E,Assured Guaranty Municipal Holdings Inc. 6.25% Notes due 2102,NYSE,active
32,AGO-F,Assured Guaranty Municipal Holdings Inc. 5.60% Notes due 2103,NYSE,active
33,AGS,"PlayAGS, Inc.",NYSE,active
34,AGTC,Applied Genetic Technologies Corporation Common Stock,NASDAQ,active
35,AHH,"Armada Hoffler Properties, Inc.",NYSE,active
36,AHL-E,"Aspen Insurance Holdings Limited Depositary Shares, each representing a 1/1000th interest in a share",NYSE,active
37,AHPI,"Allied Healthcare Products, Inc. Common Stock",NASDAQ,active
38,AHT-D,"Ashford Hospitality Trust, Inc. 8.45% Series D",NYSE,active
39,AHT-I,"Ashford Hospitality Trust, Inc. 7.50% Series I Cumulative Preferred Stock",NYSE,active
40,AIA,iShares Asia 50 ETF,NASDAQ,active
41,AIF,Apollo Tactical Income Fund Inc.,NYSE,active
42,AIG,"American International Group, Inc.",NYSE,active
43,AIG-A,"American International Group, Inc. Depositary Shares Each Representing a 1/1,000th Interest in a Sha",NYSE,active
44,AIH,Aesthetic Medical International Holdings Group Ltd. American Depositary Shares,NASDAQ,active
45,AIM,AIM ImmunoTech Inc.,AMEX,active
46,AIMC,Altra Industrial Motion Corp. Common Stock,NASDAQ,active
47,AIN,Albany International Corp Class A,NYSE,active
48,AINV,Apollo Investment Corporation Common Stock,NASDAQ,active
49,AIRTP,"Air T, Inc. Air T Funding Alpha Income Trust Preferred Securities",NASDAQ,active
50,AIT,"Applied Industrial Technologies, Inc.",NYSE,active
51,AIV,Apartment Investment and Management Company,NYSE,active
52,AIW,"Arlington Asset Investment Corp. 6.625% Notes due 2023,",NYSE,active
53,AIZP,"Assurant, Inc. 6.50% Series D Mandatory Convertible Preferred Stock, $1.00 par value",NYSE,active
54,AJAX,Ajax I,NYSE,active
55,AJAX.U,"Ajax I Units, each consisting of one Class A ordinary share and one-fourth of one redeemable warrant",NYSE,active
56,AJG,Arthur J. Gallagher & Co.,NYSE,active
57,AJX,Great Ajax Corp.,NYSE,active
58,AJXA,Great Ajax Corp.7.25% Convertible Senior Notes due 2024,NYSE,active
59,AKAM,"Akamai Technologies, Inc. Common Stock",NASDAQ,active
60,AKAOQ,ACHAOGEN INC Common Stock,OTC,inactive
61,AKBA,"Akebia Therapeutics, Inc. Common Stock",NASDAQ,active
62,AKICU,Sports Ventures Acquisition Corp. Unit,NASDAQ,active
63,AKO.A,Embotelladora Andina S.A. Series A,NYSE,active
64,AKO.B,Embotelladora Andina S.A. Series B,NYSE,active
65,CUMB,,ARCA,inactive
66,AKTS,"Akoustis Technologies, Inc. Common Stock",NASDAQ,active
67,AKU,Akumin Inc. Common Shares,NASDAQ,active
68,AL-A,"Air Lease Corporation 6.150% Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock, Series",NYSE,active
69,ALAC,Alberton Acquisition Corporation Ordinary Shares,NASDAQ,active
70,ALACR,"Alberton Acquisition Corporation Rights exp April 26, 2021",NASDAQ,active
71,ALACU,Alberton Acquisition Corporation Unit,NASDAQ,active
72,ALB,Albemarle Corporation,NYSE,active
73,ALC,Alcon Inc. Ordinary Shares,NYSE,active
74,ALFA,AlphaClone Alternative Alpha ETF,BATS,active
75,ALG,"Alamo Group, Inc.",NYSE,active
76,ALGN,"Align Technology, Inc. Common Stock",NASDAQ,active
77,ALGT,Allegiant Travel Company Common Stock,NASDAQ,active
78,ALIM,"Alimera Sciences, Inc. Common Stock",NASDAQ,active
79,BLRX,BioLineRx Ltd. American Depositary Shares,NASDAQ,active
80,ACSF,,NASDAQ,inactive
81,ALIN-A,"Altera Infrastructure L.P. 7.25% Series A Cumulative Redeemable Preferred Units, representing limite",NYSE,active
82,ALIN-B,"Altera Infrastructure L.P. 8.50% Series B Cumulative Redeemable Preferred Units, representing limite",NYSE,active
83,ALJJ,"ALJ Regional Holdings, Inc. Common Stock",NASDAQ,active
84,ALK,"Alaska Air Group, Inc.",NYSE,active
85,PGLC,,NASDAQ,inactive
86,ALKS,Alkermes plc Ordinary Shares,NASDAQ,active
87,ALL,The Allstate Corporation,NYSE,active
88,LOGO,,BATS,inactive
89,ALL-I,The Allstate Corporation,NYSE,active
90,ANPC,"AnPac Bio-Medical Science Co., Ltd. American Depositary Shares",NASDAQ,active
91,AUBAP,"Atlantic Union Bankshares Corporation Depositary Shares each representing a 1/400th ownership interest in a share of 6.875% Perpetual Non-Cumulative Preferred Stock, Series A",NASDAQ,active
92,AVDE,Avantis International Equity ETF,ARCA,active
93,AVRO,"AVROBIO, Inc. Common Stock",NASDAQ,active
94,BATL,Battalion Oil Corporation,AMEX,active
95,BZH,"Beazer Homes USA, Inc. New",NYSE,active
96,CASI,"CASI Pharmaceuticals, Inc. Common Stock",NASDAQ,active
97,CBAN,"Colony Bankcorp, Inc. Common Stock",NASDAQ,active
98,CBLAQ,CBL & ASSOC PPTYS INC Common Stock,OTC,inactive
99,CBNK,"Capital Bancorp, Inc. Common Stock",NASDAQ,active
100,EGL,,NYSE,inactive
101,CBSE,Changebridge Capital Sustainable Equity ETF,ARCA,active
102,CBU,Community Bank System,NYSE,active
103,EIV,,AMEX,inactive
104,CCI,Crown Castle Intl. Corp.,NYSE,active
105,CCM,Concord Medical Services Holding Limited,NYSE,active
106,CCRN,"Cross Country Healthcare, Inc. Common Stock $0.0001 Par Value",NASDAQ,active
107,CCVI.U,"Churchill Capital Corp VI Units, each consisting of one share of Class A common stock, and one-fifth",NYSE,active
108,CDAK,"Codiak BioSciences, Inc. Common Stock",NASDAQ,active
109,CDNA,"CareDx, Inc. Common Stock",NASDAQ,active
110,CEN,Center Coast Brookfield MLP & Energy Infrastructure Fund,NYSE,active
111,CENT,Central Garden & Pet Company Common Stock,NASDAQ,active
112,CEQP,Crestwood Equity Partners LP,NYSE,active
113,CERC,Cerecor Inc. Common Stock,NASDAQ,active
114,CERT,"Certara, Inc. Common Stock",NASDAQ,active
115,CETX,Cemtrex Inc. Common Stock,NASDAQ,active
116,CEY,Victory Portfolios II VictoryShares Emerging Market High Div Volatility Wtd ETF,NASDAQ,active
117,CFACU,CF Finance Acquisition Corp. III Unit,NASDAQ,active
118,CFB,"CrossFirst Bankshares, Inc. Common Stock",NASDAQ,active
119,CFBK,CF Bankshares Inc. Common Stock,NASDAQ,active
120,CFCV,ClearBridge Focus Value ETF,BATS,active
121,CFFVU,CF Acquisition Corp. V Unit,NASDAQ,active
122,NEXA,Nexa Resources S.A. Common Shares,NYSE,active
123,CFG-D,"Citizens Financial Group, Inc. Depositary Shares, each representing a 1/40th Interest in a Share of",NYSE,active
124,CFG-E,"Citizens Financial Group, Inc.Depositary Shares Each Representing 1/40th Interest in a Share of 5.00",NYSE,active
125,CFIVU,CF Acquisition Corp. IV Unit,NASDAQ,active
126,CFO,VictoryShares US 500 Enhanced Volatility Wtd ETF,NASDAQ,active
127,CFR,Cullen/Frost Bankers Inc.,NYSE,active
128,CFR-B,"Cullen/Frost Bankers, Inc. Depositary Shares, each representing a 1/40th ownership interest in a sha",NYSE,active
129,CGA,CHINA GREEN AGRICULTURE INC,NYSE,active
130,CGBD,"TCG BDC, Inc. Common Stock",NASDAQ,active
131,CGC,Canopy Growth Corporation Common Shares,NASDAQ,active
132,CGEM,"Cullinan Oncology, Inc. Common Stock",NASDAQ,active
133,CGNT,Cognyte Software Ltd. Ordinary Shares,NASDAQ,active
134,CGNX,Cognex Corporation Common Stock,NASDAQ,active
135,CGO,Calamos Global Total Return Fund Common Stock,NASDAQ,active
136,CGRO,Collective Growth Corporation Class A Common Stock,NASDAQ,active
137,CHAA.U,"Catcha Investment Corp Units, each consisting of one Class A ordinary share, and one-third of one re",NYSE,active
138,CHAD,Direxion Daily CSI 300 China A Share Bear 1X Shares,ARCA,active
139,CHAQ,Chardan Healthcare Acquisition 2 Corp.,AMEX,active
140,CHAQ.U,"Chardan Healthcare Acquisition 2 Corp. Units, each consisting of one share of Common Stock, and one",AMEX,active
141,CHAU,Direxion Daily CSI 300 China A Share Bull 2X Shares,ARCA,active
142,CHB,Global X Funds Global X China Biotech Innovation ETF,NASDAQ,active
143,CHCI,"Comstock Holding Companies, Inc. Class A Common Stock",NASDAQ,active
144,CHE,Chemed Corporation,NYSE,active
145,CHEK,Check-Cap Ltd. Ordinary Share,NASDAQ,active
146,CHGX,Change Finance U.S. Large Cap Fossil Fuel Free ETF,ARCA,active
147,CHIC,Global X MSCI China Communication Services ETF,ARCA,active
148,CHIQ,Global X MSCI China Consumer Discretionary ETF,ARCA,active
149,CHIS,Global X MSCI China Consumer Staples ETF,ARCA,active
150,CHKP,Check Point Software Technologies Ltd. Ordinary Shares,NASDAQ,active
151,CHW,Calamos Global Dynamic Income Fund Common Stock,NASDAQ,active
152,CIDM,"Cinedigm Corp., Class A Common Stock",NASDAQ,active
153,CIGI,Colliers International Group Inc. Subordinate Voting Shares,NASDAQ,active
154,CII,"Blackrock Enhanced Captial and Income Fund, Inc.",NYSE,active
155,CIK,Credit Suisse Asset Management Income Fund Inc.,AMEX,active
156,CIM,Chimera Investment Corp.,NYSE,active
157,CIM-D,Chimera Investment Corporation 8.00% Series D Fixed-to-Floating Rate Cumulative Redeemable Preferred,NYSE,active
158,CINR,CINER RESOURCES LP,NYSE,active
159,CIT,CIT Group Inc.,NYSE,active
160,CIVB,"Civista Bancshares, Inc. Common Stock",NASDAQ,active
161,CIXX,CI Financial Corp.,NYSE,active
162,CIZN,Citizens Holding Company Common Stock,NASDAQ,active
163,BBW,"Build-A-Bear Workshop, Inc.",NYSE,active
164,CKH,Seacor Holdings Inc.,NYSE,active
165,CL,Colgate-Palmolive Company,NYSE,active
166,CLA,Colonnade Acquisition Corp.,NYSE,active
167,CLAR,Clarus Corporation Common Stock,NASDAQ,active
168,CLB,Core Laboratories N.V.,NYSE,active
169,CLDX,"Celldex Therapeutics, Inc.",NASDAQ,active
170,CLGN,CollPlant Biotechnologies Ltd American Depositary Shares,NASDAQ,active
171,CLII.U,"Climate Change Crisis Real Impact I Acquisition Corporation Units, each consisting of one share of C",NYSE,active
172,CLIM.U,"Climate Real Impact Solutions II Acquisition Corporation Units, each consisting of one share of Clas",NYSE,active
173,CLIR,ClearSign Technologies Corporation Common Stock,NASDAQ,active
174,CLIX,ProShares Long Online/Short Stores ETF,ARCA,active
175,CLMT,"Calumet Specialty Products Partners, L.P. Common Units",NASDAQ,active
176,CLNC,"Colony Credit Real Estate, Inc.",NYSE,active
177,CLNE,Clean Energy Fuels Corp. Common Stock,NASDAQ,active
178,CLNN,Clene Inc. Common Stock,NASDAQ,active
179,CLNY-H,"Colony Capital, Inc.  7.125% Series H Cumulative Redeemable Perpetual Preferred Stock",NYSE,active
180,CLNY-I,"Colony Capital, Inc.  7.15% Series I Cumulative Redeemable Perpetual Preferred Stock",NYSE,active
181,CLNY-J,"Colony Capital, Inc.  7.125% Series J Cumulative Redeemable Perpetual Preferred Stock",NYSE,active
182,CLOU,Global X Funds Global X Cloud Computing ETF,NASDAQ,active
183,CLPT,"ClearPoint Neuro, Inc. Common Stock",NASDAQ,active
184,CLRB,"Cellectar Biosciences, Inc.  Common Stock",NASDAQ,active
185,CLRG,IndexIQ ETF Trust IQ Chaikin U.S. Large Cap ETF,NASDAQ,active
186,CLRMU,Clarim Acquisition Corp. Unit,NASDAQ,active
187,CLSK,"CleanSpark, Inc. Common Stock",NASDAQ,active
188,CLVS,"Clovis Oncology, Inc. Common Stock",NASDAQ,active
189,CLW,Clearwater Paper Corporation,NYSE,active
190,CLXT,"Calyxt, Inc. Common Stock",NASDAQ,active
191,CMBM,Cambium Networks Corporation Ordinary Shares,NASDAQ,active
192,CMBS,iShares CMBS ETF,ARCA,active
193,CMC,Commercial Metals Company,NYSE,active
194,CMCL,Caledonia Mining Corporation Plc,AMEX,active
195,CMCSA,Comcast Corporation Class A Common Stock,NASDAQ,active
196,CMCT,CIM Commercial Trust Corporation Common stock,NASDAQ,active
197,CMCTP,CIM Commercial Trust Corporation Series L Preferred Stock,NASDAQ,active
198,CMD,Cantel Medical Corporation,NYSE,active
199,CMFNL,CM Finance Inc 6.125% Notes due 2023,NASDAQ,active
200,CMG,"Chipotle Mexican Grill, Inc.",NYSE,active
201,CMI,Cummins Inc.,NYSE,active
202,CMLFU,"CM Life Sciences, Inc. Unit",NASDAQ,active
203,CMLS,Cumulus Media Inc. Class A Common Stock,NASDAQ,active
204,CMO,Capstead Mortgage Corp.,NYSE,active
205,CMPR,Cimpress PLC Ordinary Shares (Ireland),NASDAQ,active
206,CMPS,COMPASS Pathways Plc American Depository Shares,NASDAQ,active
207,CMRE,Costamare Inc.,NYSE,active
208,CMS-B,Consumers Energy Company $4.50 Cumulative Preferred,NYSE,active
209,CMU,MFS High Yield Municipal Trust,NYSE,active
210,CNCE,"Concert Pharmaceuticals, Inc. Common Stock",NASDAQ,active
211,CNEY,CN Energy Group Inc. Ordinary Shares,NASDAQ,active
212,CNK,"Cinemark Holdings, Inc.",NYSE,active
213,CNNE,"Cannae Holdings, Inc. Common Stock",NYSE,active
214,CNOB,"ConnectOne Bancorp, Inc. Common Stock",NASDAQ,active
215,CNQ,Canadian Natural Resources Limited,NYSE,active
216,CNRG,SPDR S&P Kensho Clean Power ETF,ARCA,active
217,CNSL,"Consolidated Communications Holdings, Inc. Common Stock",NASDAQ,active
218,CNTG,Centogene N.V. Common Shares,NASDAQ,active
